# BOBA Playbook pHash index — generated by scripts/build_phash_index.py
# Cards: 8221 · Format: bobaId|<16-hex-char> (LSB-first 64-bit pHash)
# Browser-side hash MUST stay in sync with computeFramePhash in js/app.js.
148-Escape Artist-Base Set-First Edition-STEEL|93e586b1c6b466a3
149-ChetMate-Base Set-First Edition-STEEL|6ce54c6c96964979
149-J-Cam-Base Set-First Edition-STEEL|9a49649cf3b6c629
15-Maxed Out-Base Set-First Edition-FIRE|535fb0f046b8f603
15-Ram-Base Set-First Edition-FIRE|72869635599e6369
15-Victory-Base Set-First Edition-STEEL|1fc5669eba36c481
150-Generator-Base Set-First Edition-STEEL|13ee3e964cbac701
150-Phoenix-Base Set-First Edition-STEEL|d3e17c385a9ca523
151-Lieutenant-Base Set-First Edition-STEEL|5827c6ec65360f8b
151-Tattoo-Base Set-2026 Edition-STEEL|b22d1e974cb8e383
152-Brawn-Base Set-First Edition-STEEL|e2ae1f1dc8326789
152-Snowbear-Base Set-First Edition-STEEL|5b9636a64e9c9329
153-Boltage-Base Set-First Edition-STEEL|585b74b55606c3b9
153-Cicada-Base Set-First Edition-STEEL|5a85643cca3e6f83
154-Courthouse-Base Set-First Edition-STEEL|188e3ea1c69be927
154-Librarian-Base Set-First Edition-STEEL|feab0a2ec7346581
155-Aeronaut-Base Set-First Edition-STEEL|cca726b44f960b39
155-Bandelero-Base Set-2026 Edition-STEEL|1b66e425c69a6ba3
156-Kettle-Bell-Base Set-First Edition-STEEL|961fd8872cb2c6a9
156-Sabotage-Base Set-First Edition-STEEL|382d668c4f36e789
157-JacHammer-Base Set-First Edition-STEEL|13e1cebc669ee023
157-Mic'd Up-Base Set-First Edition-STEEL|39a1c6cc9b3627a9
158-BaldWing-Base Set-First Edition-STEEL|c9ceceae2eb0c505
158-Jambox-Base Set-First Edition-STEEL|ec3c9cac66760b89
159-Rook-Base Set-First Edition-STEEL|14f54e3bb23c4d31
159-Simon Says-Base Set-First Edition-STEEL|1ce9a69c7336cc83
16-Freakshow-Base Set-First Edition-FIRE|db4da485465eada1
16-King Tuck-Base Set-First Edition-FIRE|13da86f0c4997e27
16-Shrouded-Base Set-First Edition-FIRE|0e899bd66cbc9383
160-Camera-Base Set-First Edition-STEEL|3ba51699ce36e489
160-Mr. Irrelevant-Base Set-First Edition-STEEL|c2c17597e26ccd91
161-Homestead-Base Set-First Edition-STEEL|cba5d3933696c423
161-Pantera-Base Set-First Edition-STEEL|3687d6c747b68909
162-Rockstar-Base Set-First Edition-STEEL|1f2fef82c0bc0d0b
162-Scary-Base Set-First Edition-STEEL|9ccd361159f666a1
163-Big-Z-Base Set-First Edition-STEEL|4c95962e6cfc8b83
163-Canine-Base Set-First Edition-STEEL|b3475e30cd8d6623
164-Clutch-Base Set-First Edition-STEEL|34196fb658b4c62b
164-Superbaby-Base Set-2026 Edition-STEEL|b5871e32cb1ce591
165-Javalanche-Base Set-2026 Edition-STEEL|3384de476698cba3
165-PukaDot-Base Set-First Edition-STEEL|b495ed5e1a0ec1b1
166-Sprinkler-Base Set-First Edition-STEEL|b92c4686cd762ea9
166-Wild Bill-Base Set-First Edition-STEEL|73cf369aca944721
167-Foxhole-Base Set-First Edition-STEEL|e42d1e5e46b6a589
167-Thorn-Base Set-First Edition-STEEL|36879e396698ce23
168-Chiller-Base Set-First Edition-STEEL|c99972965ab4c639
168-Thomstone-Base Set-First Edition-STEEL|33e7969c9c9c6123
169-Botto-Base Set-First Edition-STEEL|9e89e4343d9c4f23
169-Zephyr-Base Set-First Edition-STEEL|318b1eb4e33e4f81
17-Lightningrod-Base Set-First Edition-FIRE|b18bc696963669a9
17-Macho-Base Set-First Edition-FIRE|f9861eec5e306323
